Time;Current;Temperature;Vbat1;Vbat2;Vbat3;Vbat4
0;1.023;25;3.21;3.22;3.22;3.23
1;1.026;25;3.21;3.22;3.22;3.23
3;1.026;24.94;3.21;3.22;3.23;3.23
5;1.028;24.94;3.21;3.22;3.23;3.23
7;1.028;24.94;3.22;3.23;3.23;3.23
9;1.028;24.94;3.22;3.23;3.23;3.24
11;1.023;24.94;3.22;3.23;3.23;3.24
13;1.028;24.94;3.22;3.23;3.24;3.24
15;1.028;24.94;3.22;3.23;3.24;3.24
16;1.026;24.94;3.23;3.24;3.24;3.24
18;1.023;24.94;3.23;3.24;3.24;3.25
20;1.028;24.94;3.23;3.24;3.24;3.25
22;1.023;24.94;3.23;3.24;3.25;3.25
24;1.023;24.94;3.23;3.24;3.25;3.25
26;1.023;24.94;3.24;3.25;3.25;3.25
28;1.026;24.94;3.24;3.25;3.25;3.26
30;1.026;24.94;3.24;3.25;3.25;3.26
31;1.026;24.94;3.24;3.25;3.26;3.26
33;1.026;24.94;3.24;3.25;3.26;3.26
35;1.028;24.94;3.25;3.25;3.26;3.26
37;1.023;24.94;3.25;3.26;3.26;3.27
39;1.028;24.87;3.25;3.26;3.26;3.27
41;1.028;24.94;3.25;3.26;3.26;3.27
43;1.026;24.94;3.25;3.26;3.27;3.27
44;1.032;24.94;3.25;3.26;3.27;3.27
46;1.026;24.87;3.26;3.27;3.27;3.27
48;1.028;24.87;3.26;3.27;3.27;3.28
50;1.03;24.87;3.26;3.27;3.27;3.28
52;1.026;24.87;3.26;3.27;3.27;3.28
54;1.026;24.87;3.26;3.27;3.28;3.28
56;1.028;24.87;3.26;3.27;3.28;3.28
58;1.028;24.87;3.27;3.28;3.28;3.28
59;1.028;24.87;3.27;3.28;3.28;3.28
61;1.028;24.87;3.27;3.28;3.28;3.29
63;1.028;24.87;3.27;3.28;3.28;3.29
65;1.03;24.87;3.27;3.28;3.29;3.29
67;1.03;24.87;3.27;3.28;3.29;3.29
69;1.028;24.87;3.28;3.28;3.29;3.29
71;1.032;24.87;3.28;3.29;3.29;3.3
73;1.028;24.87;3.28;3.29;3.29;3.3
74;1.028;24.87;3.28;3.29;3.29;3.3
76;1.028;24.87;3.28;3.29;3.29;3.3
78;1.032;24.87;3.28;3.29;3.3;3.3
80;1.023;24.87;3.28;3.29;3.3;3.3
82;1.026;24.81;3.29;3.29;3.3;3.3
84;1.028;24.87;3.29;3.3;3.3;3.31
86;1.026;24.81;3.29;3.3;3.3;3.31
88;1.03;24.87;3.29;3.3;3.3;3.31
89;1.03;24.81;3.29;3.3;3.3;3.31
91;1.026;24.81;3.29;3.3;3.31;3.31
93;1.026;24.81;3.29;3.3;3.31;3.31
95;1.028;24.81;3.3;3.3;3.31;3.31
97;1.032;24.81;3.3;3.3;3.31;3.31
99;1.03;24.81;3.3;3.31;3.31;3.32
101;1.032;24.81;3.3;3.31;3.31;3.32
103;1.03;24.81;3.3;3.31;3.31;3.32
104;1.03;24.81;3.3;3.31;3.31;3.32
106;1.03;24.81;3.3;3.31;3.32;3.32
108;1.032;24.81;3.31;3.31;3.32;3.31
110;1.03;24.81;3.31;3.31;3.32;3.32
112;1.032;24.81;3.31;3.32;3.32;3.32
114;1.03;24.81;3.31;3.32;3.32;3.33
116;1.03;24.81;3.31;3.32;3.32;3.33
117;1.034;24.81;3.31;3.32;3.32;3.33
119;1.032;24.81;3.31;3.32;3.32;3.33
121;1.032;24.81;3.31;3.32;3.32;3.33
123;1.03;24.81;3.31;3.32;3.33;3.33
125;1.032;24.75;3.32;3.32;3.33;3.33
127;1.028;24.75;3.32;3.32;3.33;3.33
129;1.034;24.75;3.32;3.33;3.33;3.33
131;1.032;24.75;3.32;3.33;3.33;3.34
132;1.032;24.75;3.32;3.33;3.33;3.34
134;1.03;24.75;3.32;3.33;3.33;3.34
136;1.03;24.75;3.32;3.33;3.33;3.34
