Time;Current;Temperature;Vbat1;Vbat2;Vbat3;Vbat4
0;2.014;24.94;3.33;3.27;3.38;3.32
1;2.016;24.87;3.34;3.27;3.33;3.33
3;2.016;24.87;3.31;3.28;3.39;3.31
5;2.014;24.94;3.35;3.28;3.33;3.34
7;2.012;24.87;3.32;3.29;3.4;3.32
9;2.014;24.87;3.35;3.29;3.34;3.34
11;2.016;24.87;3.33;3.3;3.4;3.32
13;2.014;24.87;3.36;3.3;3.35;3.35
15;2.014;24.87;3.33;3.3;3.41;3.33
16;2.016;24.87;3.37;3.31;3.35;3.36
18;2.012;24.87;3.34;3.31;3.41;3.34
20;2.016;24.87;3.37;3.31;3.36;3.36
22;2.016;24.87;3.34;3.32;3.42;3.34
24;2.014;24.87;3.38;3.32;3.36;3.37
26;2.014;24.87;3.35;3.32;3.43;3.35
28;2.018;24.87;3.38;3.33;3.37;3.37
30;2.014;24.87;3.35;3.33;3.43;3.35
31;2.012;24.87;3.39;3.33;3.38;3.38
33;2.016;24.87;3.36;3.34;3.44;3.36
35;2.012;24.87;3.39;3.34;3.38;3.39
37;2.008;24.87;3.36;3.34;3.44;3.36
39;2.016;24.87;3.4;3.35;3.39;3.39
41;2.014;24.81;3.37;3.35;3.45;3.37
43;2.014;24.87;3.4;3.35;3.39;3.4
44;2.01;24.87;3.37;3.35;3.45;3.37
46;2.01;24.81;3.41;3.36;3.4;3.4
48;2.016;24.87;3.38;3.36;3.46;3.38
50;2.018;24.81;3.41;3.36;3.4;3.4
52;2.014;24.81;3.38;3.36;3.46;3.38
54;2.016;24.81;3.41;3.37;3.4;3.41
56;2.012;24.81;3.39;3.37;3.46;3.39
58;2.012;24.81;3.42;3.37;3.41;3.41
59;2.012;24.81;3.39;3.37;3.47;3.42
61;2.016;24.81;3.42;3.38;3.41;3.42
63;2.014;24.81;3.39;3.38;3.47;3.4
65;2.016;24.81;3.43;3.38;3.42;3.42
67;2.016;24.81;3.4;3.38;3.48;3.4
69;2.012;24.81;3.43;3.39;3.42;3.43
71;2.014;24.81;3.4;3.39;3.48;3.4
73;2.012;24.81;3.43;3.39;3.43;3.43
74;2.012;24.81;3.41;3.39;3.49;3.41
76;2.016;24.81;3.44;3.39;3.43;3.43
78;2.01;24.81;3.41;3.4;3.49;3.41
80;2.012;24.81;3.44;3.4;3.43;3.44
82;2.014;24.81;3.41;3.4;3.49;3.44
84;2.014;24.75;3.44;3.4;3.44;3.44
86;2.014;24.75;3.42;3.4;3.5;3.42
88;2.012;24.81;3.45;3.41;3.44;3.45
89;2.014;24.75;3.42;3.41;3.5;3.42
91;2.014;24.81;3.45;3.41;3.44;3.45
93;2.016;24.75;3.42;3.41;3.5;3.43
95;2.01;24.75;3.45;3.41;3.45;3.45
97;2.01;24.75;3.43;3.42;3.51;3.43
99;2.014;24.75;3.46;3.42;3.45;3.46
101;2.014;24.75;3.43;3.42;3.51;3.43
103;2.014;24.75;3.46;3.42;3.45;3.46
104;2.012;24.75;3.43;3.42;3.51;3.44
106;2.014;24.75;3.46;3.42;3.46;3.46
108;2.016;24.75;3.43;3.43;3.52;3.47
110;2.016;24.75;3.47;3.43;3.46;3.47
112;2.014;24.75;3.44;3.43;3.52;3.44
114;2.014;24.75;3.47;3.43;3.46;3.47
116;2.012;24.75;3.44;3.43;3.52;3.47
117;2.014;24.75;3.47;3.43;3.47;3.47
119;2.014;24.75;3.47;3.44;3.53;3.45
121;2.016;24.75;3.48;3.44;3.47;3.47
123;2.016;24.75;3.45;3.44;3.53;3.45
125;2.014;24.75;3.48;3.44;3.47;3.48
127;2.014;24.75;3.45;3.44;3.53;3.45
129;2.014;24.75;3.48;3.44;3.48;3.48
131;2.016;24.75;3.45;3.44;3.53;3.48
132;2.01;24.75;3.48;3.45;3.48;3.49
134;2.016;24.75;3.49;3.45;3.54;3.46
136;2.018;24.75;3.49;3.45;3.48;3.49
138;2.01;24.75;3.45;3.45;3.54;3.49
140;2.014;24.75;3.49;3.45;3.49;3.49
142;2.018;24.75;3.49;3.45;3.54;3.47
144;2.014;24.75;3.49;3.46;3.49;3.49
146;2.016;24.75;3.46;3.46;3.55;3.47
147;2.012;24.75;3.49;3.46;3.49;3.5
149;2.012;24.75;3.47;3.46;3.55;3.47
151;2.016;24.75;3.5;3.46;3.49;3.5
153;2.014;24.75;3.47;3.46;3.55;3.47
155;2.012;24.75;3.5;3.46;3.49;3.5
157;2.016;24.75;3.5;3.46;3.55;3.48
159;2.016;24.75;3.5;3.47;3.5;3.5
161;2.012;24.75;3.47;3.47;3.56;3.51
162;2.012;24.75;3.5;3.47;3.5;3.51
164;2.014;24.75;3.51;3.47;3.56;3.48
166;2.012;24.75;3.51;3.47;3.5;3.51
168;2.014;24.75;3.47;3.47;3.56;3.51
170;2.014;24.75;3.51;3.47;3.5;3.51
172;2.012;24.75;3.48;3.48;3.56;3.49
174;2.016;24.75;3.51;3.48;3.51;3.51
176;2.016;24.75;3.51;3.48;3.56;3.49
177;2.012;24.75;3.51;3.48;3.51;3.51
179;2.012;24.75;3.49;3.48;3.57;3.49
181;2.016;24.75;3.52;3.48;3.51;3.52
183;2.014;24.75;3.48;3.48;3.57;3.52
185;2.014;24.75;3.52;3.48;3.51;3.52
187;2.014;24.75;3.52;3.48;3.57;3.5
189;2.012;24.75;3.52;3.48;3.52;3.52
190;2.014;24.75;3.49;3.49;3.57;3.5
192;2.014;24.75;3.52;3.49;3.52;3.52
194;2.012;24.75;3.49;3.49;3.58;3.5
196;2.014;24.75;3.52;3.49;3.52;3.52
198;2.012;24.75;3.53;3.49;3.58;3.5
200;2.01;24.75;3.53;3.49;3.52;3.53
202;2.01;24.75;3.49;3.49;3.58;3.53
204;2.014;24.75;3.53;3.49;3.52;3.53
205;2.012;24.75;3.53;3.49;3.58;3.5
207;2.018;24.75;3.53;3.49;3.53;3.53
209;2.016;24.75;3.5;3.5;3.58;3.51
211;2.014;24.75;3.53;3.5;3.53;3.53
213;2.016;24.75;3.5;3.5;3.59;3.51
215;2.012;24.75;3.53;3.5;3.53;3.53
217;2.01;24.75;3.53;3.5;3.59;3.51
219;2.014;24.75;3.54;3.5;3.53;3.53
220;2.014;24.75;3.5;3.5;3.59;3.54
222;2.016;24.75;3.54;3.5;3.53;3.54
224;2.018;24.75;3.54;3.5;3.59;3.51
226;2.014;24.75;3.54;3.5;3.53;3.54
228;2.014;24.75;3.51;3.5;3.59;3.54
230;2.016;24.75;3.54;3.5;3.54;3.54
232;2.012;24.75;3.54;3.5;3.59;3.52
234;2.014;24.75;3.54;3.51;3.54;3.54
235;2.012;24.75;3.51;3.51;3.59;3.54
237;2.016;24.75;3.54;3.51;3.54;3.54
239;2.012;24.75;3.51;3.51;3.6;3.55
241;2.016;24.75;3.54;3.51;3.54;3.55
243;2.014;24.75;3.55;3.51;3.6;3.52
245;2.016;24.75;3.55;3.51;3.54;3.54
247;2.016;24.75;3.51;3.51;3.6;3.55
249;2.012;24.81;3.55;3.51;3.54;3.55
250;2.012;24.81;3.51;3.51;3.6;3.55
252;2.018;24.75;3.55;3.51;3.54;3.55
254;2.012;24.75;3.55;3.51;3.6;3.52
256;2.014;24.81;3.55;3.51;3.55;3.55
258;2.012;24.81;3.52;3.51;3.6;3.55
260;2.016;24.81;3.55;3.52;3.55;3.55
262;2.016;24.81;3.52;3.52;3.6;3.55
264;2.014;24.81;3.55;3.52;3.55;3.55
265;2.01;24.81;3.52;3.52;3.61;3.55
267;2.016;24.81;3.55;3.52;3.55;3.55
269;2.012;24.81;3.52;3.52;3.61;3.55
271;2.014;24.81;3.55;3.52;3.55;3.55
273;2.014;24.81;3.55;3.52;3.61;3.55
275;2.014;24.81;3.56;3.52;3.55;3.55
277;2.014;24.81;3.52;3.52;3.61;3.56
278;2.016;24.81;3.56;3.52;3.55;3.55
280;2.014;24.81;3.52;3.52;3.61;3.56
282;2.018;24.81;3.56;3.52;3.55;3.56
284;2.012;24.81;3.52;3.52;3.61;3.56
286;2.016;24.81;3.56;3.52;3.56;3.56
288;2.012;24.81;3.55;3.52;3.61;3.56
290;2.012;24.81;3.56;3.52;3.56;3.56
292;2.018;24.81;3.53;3.52;3.61;3.56
293;2.012;24.81;3.56;3.52;3.56;3.56
295;2.012;24.81;3.53;3.53;3.61;3.56
297;2.018;24.81;3.56;3.53;3.56;3.56
299;2.016;24.81;3.53;3.53;3.62;3.56
301;2.012;24.87;3.56;3.53;3.56;3.56
303;2.016;24.87;3.56;3.53;3.62;3.56
305;2.014;24.87;3.56;3.53;3.56;3.56
307;2.018;24.87;3.53;3.53;3.62;3.56
308;2.012;24.87;3.56;3.53;3.56;3.56
310;2.014;24.87;3.56;3.53;3.62;3.56
