Time;Current;Temperature;Vbat1;Vbat2;Vbat3;Vbat4
0;1.004;24.87;3.21;3.2;3.21;3.22
1;1.002;24.87;3.22;3.21;3.22;3.22
3;1.004;24.87;3.22;3.21;3.22;3.23
5;1.004;24.87;3.22;3.21;3.22;3.23
7;1.004;24.87;3.22;3.21;3.22;3.23
8;1.008;24.87;3.23;3.21;3.22;3.23
10;1.006;24.87;3.23;3.22;3.23;3.23
12;1.006;24.87;3.23;3.22;3.23;3.24
14;1.006;24.87;3.23;3.22;3.23;3.24
16;1.006;24.87;3.23;3.22;3.23;3.24
18;1.002;24.87;3.24;3.23;3.23;3.24
20;1.004;24.87;3.24;3.23;3.24;3.25
22;1.004;24.87;3.24;3.23;3.24;3.25
23;1.006;24.81;3.24;3.23;3.24;3.25
25;1.002;24.87;3.24;3.23;3.24;3.25
27;1.004;24.81;3.25;3.24;3.24;3.25
29;1.006;24.81;3.25;3.24;3.25;3.25
31;1.006;24.87;3.25;3.24;3.25;3.25
33;1.008;24.81;3.25;3.24;3.25;3.26
35;1.006;24.81;3.25;3.24;3.25;3.26
36;1.011;24.81;3.25;3.24;3.25;3.26
38;1.004;24.81;3.26;3.25;3.25;3.26
40;1;24.81;3.26;3.25;3.25;3.26
42;1.006;24.81;3.26;3.25;3.26;3.26
44;1.004;24.81;3.26;3.25;3.26;3.27
46;1.006;24.81;3.26;3.25;3.26;3.27
48;1.004;24.81;3.26;3.26;3.26;3.27
50;1.008;24.81;3.27;3.26;3.26;3.27
51;1.002;24.81;3.27;3.26;3.26;3.27
53;1.006;24.81;3.27;3.26;3.27;3.28
55;1.011;24.81;3.27;3.26;3.27;3.28
57;1.008;24.81;3.27;3.26;3.27;3.28
59;1.008;24.81;3.27;3.26;3.27;3.28
61;1.011;24.81;3.28;3.27;3.27;3.28
63;1.004;24.81;3.28;3.27;3.27;3.28
65;1.004;24.81;3.28;3.27;3.28;3.28
66;1.006;24.81;3.28;3.27;3.28;3.29
68;1.004;24.81;3.28;3.27;3.28;3.29
70;1.006;24.75;3.28;3.27;3.28;3.29
72;1.008;24.75;3.29;3.28;3.28;3.29
74;1.002;24.75;3.29;3.28;3.28;3.29
76;1.006;24.75;3.29;3.28;3.29;3.29
78;1.008;24.75;3.29;3.28;3.29;3.29
80;1.006;24.75;3.29;3.28;3.29;3.3
81;1.006;24.75;3.29;3.28;3.29;3.3
83;1.006;24.75;3.29;3.28;3.29;3.3
85;1.011;24.75;3.3;3.29;3.29;3.3
87;1.011;24.75;3.3;3.29;3.29;3.3
89;1.008;24.75;3.3;3.29;3.29;3.3
91;1.008;24.75;3.3;3.29;3.3;3.31
93;1.008;24.75;3.3;3.29;3.3;3.31
95;1.013;24.75;3.3;3.29;3.3;3.31
96;1.008;24.75;3.3;3.29;3.3;3.31
98;1.002;24.75;3.3;3.3;3.3;3.31
100;1.013;24.69;3.31;3.3;3.3;3.31
102;1.006;24.75;3.31;3.3;3.3;3.31
104;1.008;24.69;3.31;3.3;3.3;3.31
106;1.008;24.75;3.31;3.3;3.31;3.31
108;1.013;24.75;3.31;3.3;3.31;3.32
109;1.008;24.69;3.31;3.3;3.31;3.32
111;1.008;24.69;3.31;3.31;3.31;3.32
