Time;Current;Temperature;Vbat1;Vbat2;Vbat3;Vbat4
0;1.019;25.81;3.32;3.32;3.33;3.32
1;1.015;25.81;3.32;3.32;3.33;3.32
3;1.017;25.81;3.32;3.32;3.33;3.32
5;1.017;25.81;3.32;3.32;3.33;3.32
7;1.019;25.81;3.32;3.32;3.33;3.32
9;1.017;25.75;3.32;3.33;3.34;3.33
11;1.015;25.75;3.33;3.33;3.34;3.33
13;1.015;25.75;3.33;3.33;3.34;3.33
15;1.017;25.75;3.33;3.33;3.34;3.33
16;1.015;25.75;3.33;3.33;3.34;3.33
18;1.019;25.75;3.33;3.33;3.34;3.33
20;1.019;25.75;3.33;3.33;3.34;3.33
22;1.019;25.75;3.33;3.33;3.34;3.33
24;1.017;25.75;3.33;3.33;3.34;3.34
26;1.017;25.75;3.33;3.34;3.35;3.34
28;1.015;25.75;3.34;3.34;3.35;3.34
30;1.017;25.75;3.34;3.34;3.35;3.34
31;1.017;25.75;3.34;3.34;3.35;3.34
33;1.017;25.75;3.34;3.34;3.35;3.34
35;1.022;25.75;3.34;3.34;3.35;3.34
37;1.017;25.75;3.34;3.34;3.35;3.34
39;1.022;25.75;3.34;3.34;3.35;3.34
41;1.022;25.75;3.34;3.34;3.35;3.34
43;1.015;25.75;3.34;3.35;3.36;3.35
44;1.022;25.69;3.35;3.35;3.36;3.35
46;1.015;25.69;3.35;3.35;3.36;3.35
48;1.019;25.69;3.35;3.35;3.36;3.35
50;1.019;25.69;3.35;3.35;3.36;3.35
52;1.017;25.75;3.35;3.35;3.36;3.35
54;1.026;25.69;3.35;3.35;3.36;3.35
56;1.017;25.69;3.35;3.35;3.36;3.35
58;1.024;25.69;3.35;3.35;3.36;3.35
59;1.019;25.69;3.35;3.35;3.36;3.36
61;1.017;25.69;3.35;3.35;3.36;3.36
63;1.022;25.69;3.35;3.36;3.37;3.36
65;1.017;25.69;3.36;3.36;3.37;3.36
67;1.017;25.69;3.36;3.36;3.37;3.36
69;1.019;25.69;3.36;3.36;3.37;3.36
71;1.022;25.69;3.36;3.36;3.37;3.36
73;1.019;25.69;3.36;3.36;3.37;3.36
74;1.017;25.69;3.36;3.36;3.37;3.36
76;1.017;25.69;3.36;3.36;3.37;3.36
78;1.019;25.69;3.36;3.36;3.37;3.36
80;1.024;25.69;3.36;3.36;3.37;3.36
82;1.024;25.69;3.36;3.36;3.37;3.36
84;1.022;25.69;3.36;3.37;3.38;3.37
86;1.024;25.69;3.37;3.37;3.38;3.37
88;1.022;25.69;3.37;3.37;3.38;3.37
89;1.024;25.69;3.37;3.37;3.38;3.37
