Time;Current;Temperature;Vbat1;Vbat2;Vbat3;Vbat4
0;1.004;25.06;3.15;3.16;3.16;3.14
1;1.004;25.06;3.16;3.16;3.14;3.15
3;1.004;25.06;3.15;3.16;3.17;3.15
5;1.004;25.06;3.16;3.17;3.17;3.15
7;1.002;25.06;3.16;3.17;3.17;3.15
9;1.011;25.06;3.16;3.17;3.18;3.16
11;1.004;25.06;3.17;3.17;3.18;3.16
13;1.006;25.06;3.17;3.18;3.18;3.16
15;1.006;25.06;3.17;3.18;3.16;3.17
16;1.006;25.06;3.17;3.18;3.19;3.17
18;1.004;25.06;3.17;3.18;3.19;3.17
20;1.004;25.06;3.18;3.19;3.19;3.17
22;1.004;25.06;3.18;3.19;3.19;3.17
24;1.008;25.06;3.19;3.19;3.17;3.18
26;1.006;25.06;3.19;3.17;3.2;3.18
28;1.011;25.06;3.19;3.19;3.18;3.18
30;1.006;25.06;3.19;3.2;3.2;3.18
31;1.008;25.06;3.19;3.2;3.2;3.19
33;1.006;25.06;3.19;3.2;3.2;3.19
35;1.006;25.06;3.19;3.2;3.21;3.19
37;1.006;25;3.2;3.2;3.21;3.19
39;1.008;25.06;3.2;3.21;3.21;3.19
41;1.008;25.06;3.2;3.21;3.21;3.2
43;1.008;25;3.2;3.21;3.22;3.2
44;1.008;25;3.21;3.21;3.22;3.2
46;1.006;25;3.21;3.21;3.22;3.2
48;1.004;25;3.21;3.22;3.22;3.21
50;1.011;25;3.21;3.22;3.23;3.21
52;1.008;25;3.21;3.22;3.23;3.21
54;1.006;25;3.21;3.22;3.23;3.21
56;1.002;25;3.22;3.22;3.23;3.21
58;1.008;25;3.22;3.23;3.23;3.22
59;1.008;25;3.22;3.23;3.23;3.22
61;1.008;25;3.22;3.23;3.24;3.22
63;1.011;25;3.22;3.23;3.24;3.22
65;1.006;25;3.22;3.23;3.24;3.22
67;1.006;25;3.23;3.23;3.24;3.22
69;1.011;25;3.23;3.24;3.22;3.23
71;1.011;25;3.23;3.24;3.24;3.23
73;1.006;25;3.23;3.24;3.25;3.23
74;1.004;25;3.23;3.24;3.25;3.23
76;1.004;25;3.23;3.24;3.25;3.23
78;1.008;25;3.24;3.25;3.25;3.24
80;1.006;25;3.24;3.25;3.25;3.24
82;1.006;24.94;3.24;3.25;3.25;3.24
84;1.008;24.94;3.24;3.25;3.25;3.24
86;1.008;24.94;3.24;3.25;3.26;3.24
88;1.011;24.94;3.24;3.25;3.26;3.24
89;1.008;24.94;3.25;3.25;3.26;3.24
91;1.008;25;3.25;3.26;3.24;3.24
93;1.008;24.94;3.25;3.26;3.26;3.25
95;1.011;24.94;3.25;3.26;3.26;3.25
97;1.008;24.94;3.25;3.26;3.26;3.25
99;1.011;24.94;3.25;3.26;3.27;3.25
101;1.013;24.94;3.25;3.26;3.27;3.25
103;1.008;24.94;3.26;3.26;3.27;3.25
104;1.015;24.94;3.26;3.27;3.27;3.26
106;1.011;24.94;3.26;3.27;3.27;3.26
108;1.017;24.94;3.26;3.27;3.27;3.26
110;1.017;24.94;3.26;3.27;3.28;3.26
112;1.011;24.94;3.26;3.27;3.28;3.26
114;1.008;24.94;3.26;3.27;3.28;3.26
116;1.006;24.94;3.27;3.28;3.26;3.26
117;1.015;24.94;3.27;3.27;3.28;3.27
119;1.015;24.94;3.27;3.28;3.28;3.27
121;1.008;24.94;3.27;3.28;3.28;3.27
123;1.011;24.87;3.27;3.28;3.28;3.27
125;1.013;24.94;3.27;3.28;3.29;3.27
127;1.008;24.94;3.27;3.28;3.29;3.27
129;1.011;24.94;3.27;3.28;3.29;3.27
131;1.008;24.94;3.28;3.28;3.29;3.27
132;1.013;24.87;3.28;3.28;3.29;3.28
134;1.013;24.94;3.28;3.29;3.29;3.28
136;1.013;24.87;3.28;3.29;3.29;3.28
138;1.011;24.87;3.28;3.29;3.3;3.28
140;1.017;24.87;3.29;3.29;3.27;3.28
142;1.011;24.87;3.28;3.29;3.3;3.28
144;1.015;24.87;3.28;3.29;3.3;3.28
146;1.011;24.87;3.28;3.29;3.3;3.28
147;1.013;24.87;3.29;3.29;3.3;3.29
149;1.015;24.87;3.29;3.3;3.3;3.29
151;1.011;24.87;3.29;3.3;3.3;3.29
153;1.013;24.87;3.29;3.3;3.3;3.29
155;1.015;24.87;3.29;3.3;3.3;3.29
157;1.015;24.87;3.29;3.3;3.31;3.29
159;1.015;24.87;3.29;3.3;3.31;3.29
161;1.015;24.87;3.29;3.3;3.31;3.29
162;1.015;24.87;3.29;3.3;3.31;3.29
164;1.011;24.87;3.3;3.3;3.31;3.3
166;1.011;24.87;3.3;3.31;3.31;3.3
168;1.017;24.87;3.3;3.31;3.31;3.3
170;1.017;24.87;3.3;3.31;3.31;3.3
172;1.017;24.87;3.3;3.31;3.32;3.3
174;1.017;24.87;3.31;3.31;3.29;3.3
176;1.013;24.87;3.3;3.31;3.32;3.3
177;1.011;24.87;3.3;3.31;3.32;3.3
179;1.011;24.81;3.3;3.31;3.32;3.31
181;1.013;24.87;3.3;3.31;3.32;3.31
183;1.015;24.81;3.31;3.31;3.32;3.31
185;1.013;24.81;3.31;3.32;3.32;3.31
187;1.015;24.81;3.31;3.32;3.32;3.31
189;1.015;24.81;3.31;3.32;3.32;3.31
190;1.017;24.87;3.31;3.32;3.33;3.31
192;1.015;24.81;3.31;3.32;3.33;3.31
194;1.013;24.81;3.31;3.32;3.33;3.31
196;1.013;24.81;3.31;3.32;3.33;3.31
198;1.011;24.81;3.31;3.32;3.33;3.32
200;1.015;24.81;3.31;3.32;3.33;3.32
202;1.017;24.81;3.32;3.32;3.33;3.32
204;1.015;24.81;3.32;3.33;3.33;3.32
