Time;Current;Temperature;Vbat1;Vbat2;Vbat3;Vbat4
0;0.976;25.06;3.26;3.25;3.27;3.27
1;0.983;25.06;3.26;3.25;3.27;3.27
3;0.978;25.06;3.26;3.25;3.27;3.28
5;0.983;25.06;3.27;3.26;3.27;3.28
7;0.98;25.06;3.27;3.26;3.28;3.28
9;0.98;25.06;3.27;3.26;3.28;3.28
11;0.985;25.06;3.28;3.26;3.28;3.27
13;0.98;25.06;3.27;3.26;3.28;3.28
15;0.985;25.06;3.28;3.26;3.28;3.29
16;0.978;25.06;3.28;3.27;3.29;3.29
18;0.985;25.06;3.28;3.27;3.29;3.29
20;0.98;25.06;3.28;3.27;3.29;3.29
22;0.983;25.06;3.28;3.27;3.29;3.29
24;0.985;25.06;3.28;3.27;3.29;3.3
26;0.98;25.06;3.29;3.28;3.29;3.3
28;0.98;25.06;3.29;3.28;3.3;3.3
30;0.987;25.06;3.29;3.28;3.3;3.3
31;1.006;25.06;3.29;3.28;3.3;3.3
33;1.006;25.06;3.29;3.28;3.3;3.31
35;1.006;25.06;3.29;3.29;3.3;3.31
37;1.008;25.06;3.3;3.29;3.3;3.31
39;1.008;25.06;3.3;3.29;3.31;3.31
41;1.006;25.06;3.3;3.29;3.31;3.31
43;1.008;25.06;3.3;3.29;3.31;3.31
44;1.004;25;3.3;3.29;3.31;3.32
46;1.008;25.06;3.3;3.3;3.31;3.32
48;1.006;25.06;3.31;3.3;3.31;3.32
50;1.006;25;3.31;3.3;3.32;3.32
52;1.006;25.06;3.31;3.3;3.32;3.32
54;1.002;25;3.31;3.3;3.32;3.31
56;1.004;25;3.31;3.3;3.32;3.32
58;1.006;25.06;3.31;3.31;3.32;3.32
59;1.006;25;3.31;3.31;3.32;3.33
61;1.008;25;3.32;3.31;3.33;3.33
63;1.008;25;3.32;3.31;3.33;3.33
65;1;25;3.32;3.31;3.33;3.33
67;1.011;25;3.32;3.31;3.33;3.33
69;1.006;25;3.32;3.31;3.33;3.33
71;1.008;25;3.32;3.32;3.33;3.34
73;1.011;25;3.32;3.32;3.33;3.34
74;1.008;25;3.33;3.32;3.33;3.34
76;1.004;25;3.33;3.32;3.34;3.34
