Time;Current;Temperature;Vbat1;Vbat2;Vbat3;Vbat4
0;0.999;28.62;3.27;3.27;3.29;3.29
1;1.001;28.62;3.27;3.28;3.29;3.29
3;0.999;28.62;3.27;3.28;3.29;3.29
5;1.003;28.62;3.28;3.28;3.3;3.29
7;0.997;28.62;3.28;3.28;3.3;3.3
9;1.001;28.62;3.28;3.28;3.3;3.3
11;1.001;28.62;3.28;3.28;3.3;3.3
13;0.999;28.62;3.28;3.29;3.3;3.3
15;1.001;28.62;3.29;3.29;3.28;3.3
16;1.001;28.62;3.29;3.29;3.31;3.29
18;1.003;28.62;3.29;3.29;3.28;3.31
20;1.001;28.62;3.29;3.3;3.31;3.29
22;1.003;28.56;3.29;3.3;3.28;3.31
24;0.999;28.56;3.3;3.3;3.31;3.29
26;0.999;28.56;3.3;3.3;3.29;3.31
28;1.003;28.56;3.3;3.3;3.31;3.29
30;0.999;28.56;3.3;3.3;3.29;3.31
31;1.001;28.56;3.3;3.31;3.31;3.3
33;1.001;28.56;3.3;3.31;3.32;3.31
35;1.001;28.56;3.3;3.31;3.32;3.32
37;0.999;28.56;3.3;3.31;3.32;3.32
39;0.999;28.56;3.31;3.31;3.32;3.32
41;0.999;28.56;3.31;3.31;3.32;3.32
43;1.003;28.56;3.31;3.31;3.32;3.32
45;1.003;28.56;3.31;3.31;3.33;3.32
46;1.001;28.56;3.31;3.32;3.33;3.33
48;1.003;28.5;3.31;3.32;3.33;3.33
50;1.001;28.56;3.31;3.32;3.33;3.33
52;1.003;28.56;3.32;3.32;3.33;3.33
54;1.003;28.56;3.32;3.32;3.33;3.33
56;0.999;28.5;3.32;3.32;3.33;3.33
58;1.001;28.5;3.32;3.32;3.34;3.33
59;1.003;28.5;3.32;3.32;3.34;3.34
61;0.997;28.5;3.32;3.33;3.34;3.34
63;1.001;28.5;3.32;3.33;3.34;3.34
65;1.003;28.5;3.32;3.33;3.34;3.34
67;0.999;28.5;3.33;3.33;3.34;3.34
69;1.001;28.5;3.33;3.33;3.34;3.34
