Time;Current;Temperature;Vbat1;Vbat2;Vbat3;Vbat4
0;1.013;25.81;3.25;3.25;3.24;3.25
1;1.008;25.81;3.25;3.25;3.24;3.25
3;1.008;25.81;3.25;3.26;3.25;3.25
5;1.008;25.81;3.25;3.26;3.25;3.26
7;1.011;25.75;3.25;3.26;3.25;3.26
8;1.013;25.75;3.26;3.26;3.25;3.26
10;1.011;25.75;3.26;3.26;3.25;3.26
12;1.011;25.75;3.26;3.27;3.26;3.26
14;1.008;25.75;3.26;3.27;3.26;3.27
16;1.011;25.75;3.26;3.27;3.26;3.27
18;1.008;25.75;3.27;3.27;3.26;3.27
20;1.008;25.75;3.27;3.27;3.26;3.27
22;1.008;25.75;3.27;3.28;3.27;3.27
23;1.011;25.75;3.27;3.28;3.27;3.28
25;1.013;25.75;3.27;3.28;3.27;3.28
27;1.011;25.75;3.27;3.28;3.27;3.28
29;1.015;25.69;3.28;3.28;3.27;3.28
31;1.013;25.75;3.28;3.28;3.28;3.28
33;1.015;25.75;3.28;3.29;3.28;3.28
35;1.008;25.69;3.28;3.29;3.28;3.29
37;1.013;25.75;3.28;3.29;3.28;3.29
38;1.011;25.69;3.28;3.29;3.28;3.29
40;1.013;25.69;3.29;3.29;3.28;3.29
42;1.013;25.69;3.29;3.29;3.28;3.29
44;1.015;25.69;3.29;3.3;3.28;3.3
46;1.008;25.69;3.29;3.3;3.29;3.3
48;1.013;25.69;3.29;3.3;3.29;3.3
50;1.013;25.69;3.29;3.3;3.29;3.3
51;1.011;25.69;3.3;3.3;3.29;3.3
53;1.006;25.69;3.3;3.3;3.29;3.3
55;1.017;25.69;3.3;3.31;3.3;3.3
57;1.015;25.69;3.3;3.31;3.3;3.3
59;1.017;25.69;3.3;3.31;3.3;3.31
61;1.013;25.69;3.3;3.31;3.3;3.31
63;1.008;25.62;3.3;3.31;3.3;3.31
65;1.015;25.62;3.31;3.31;3.3;3.31
66;1.011;25.62;3.31;3.31;3.3;3.31
68;1.015;25.62;3.31;3.32;3.31;3.31
70;1.013;25.62;3.31;3.32;3.31;3.31
72;1.011;25.62;3.31;3.32;3.31;3.31
74;1.013;25.62;3.31;3.32;3.31;3.31
