Time;Current;Temperature;Vbat1;Vbat2;Vbat3;Vbat4
0;2.009;25.94;3.46;3.44;3.45;3.45
1;2.007;25.87;3.46;3.45;3.45;3.45
3;2.007;25.94;3.46;3.45;3.45;3.46
5;2.005;25.87;3.46;3.45;3.45;3.46
7;2.007;25.87;3.47;3.45;3.45;3.46
9;2.007;25.87;3.47;3.45;3.45;3.46
11;2.005;25.87;3.47;3.45;3.46;3.46
13;2.007;25.87;3.47;3.45;3.46;3.46
15;2.007;25.87;3.47;3.46;3.46;3.46
16;2.009;25.87;3.47;3.46;3.46;3.47
18;2.007;25.87;3.47;3.46;3.46;3.47
20;2.007;25.87;3.47;3.46;3.46;3.47
22;2.007;25.87;3.48;3.46;3.46;3.47
24;2.005;25.87;3.48;3.46;3.46;3.47
26;2.007;25.87;3.48;3.46;3.47;3.47
28;2.007;25.87;3.48;3.46;3.47;3.47
30;2.005;25.87;3.48;3.47;3.47;3.47
31;2.003;25.87;3.48;3.47;3.47;3.47
33;2.005;25.87;3.48;3.47;3.47;3.48
35;2.003;25.87;3.48;3.47;3.47;3.48
37;2.009;25.87;3.49;3.47;3.47;3.48
39;2.007;25.87;3.49;3.47;3.47;3.48
41;2.009;25.87;3.49;3.47;3.48;3.48
43;2.009;25.87;3.49;3.47;3.48;3.48
44;2.013;25.87;3.49;3.47;3.48;3.48
46;2.007;25.87;3.49;3.48;3.48;3.48
48;2.009;25.87;3.49;3.48;3.48;3.48
50;2.005;25.87;3.49;3.48;3.48;3.48
52;2.011;25.87;3.49;3.48;3.48;3.49
54;2.007;25.87;3.5;3.48;3.48;3.49
56;2.013;25.87;3.5;3.48;3.48;3.49
58;2.009;25.87;3.5;3.48;3.48;3.49
59;2.011;25.87;3.5;3.48;3.49;3.49
61;2.009;25.87;3.5;3.48;3.49;3.49
63;2.007;25.94;3.5;3.49;3.49;3.49
65;2.007;25.94;3.5;3.49;3.49;3.49
67;2.005;25.87;3.5;3.49;3.49;3.49
69;2.003;25.94;3.5;3.49;3.49;3.49
71;2.009;25.94;3.5;3.49;3.49;3.49
73;2.009;25.94;3.51;3.49;3.49;3.5
74;2.007;25.94;3.51;3.49;3.49;3.5
76;2.009;25.87;3.51;3.49;3.49;3.5
78;2.011;25.87;3.51;3.49;3.5;3.5
80;2.011;25.87;3.51;3.49;3.5;3.5
82;2.007;25.94;3.48;3.5;3.5;3.5
84;2.009;25.94;3.51;3.5;3.5;3.5
86;2.009;25.94;3.51;3.5;3.5;3.5
88;2.011;25.94;3.51;3.5;3.5;3.5
89;2.009;25.94;3.51;3.5;3.5;3.5
91;2.007;25.94;3.51;3.5;3.5;3.51
93;2.011;25.94;3.52;3.5;3.5;3.51
95;2.007;25.94;3.52;3.5;3.5;3.51
97;2.009;25.94;3.52;3.5;3.5;3.51
99;2.009;25.94;3.49;3.5;3.5;3.51
101;2.005;25.94;3.52;3.5;3.5;3.51
103;2.009;25.94;3.52;3.5;3.51;3.51
104;2.003;25.94;3.52;3.5;3.51;3.51
106;2.011;25.94;3.49;3.51;3.51;3.51
108;2.009;25.94;3.52;3.51;3.51;3.51
110;2.009;25.94;3.49;3.51;3.51;3.51
112;2.007;25.94;3.52;3.51;3.51;3.51
114;2.007;25.94;3.52;3.51;3.51;3.51
116;2.011;25.94;3.5;3.51;3.51;3.51
117;2.009;25.94;3.52;3.51;3.51;3.51
