Time;Current;Temperature;Vbat1;Vbat2;Vbat3;Vbat4
0;1.015;25.44;3.11;3.12;3.13;3.13
1;1.021;25.44;3.12;3.13;3.13;3.14
3;1.015;25.44;3.13;3.13;3.14;3.12
5;1.019;25.44;3.12;3.13;3.14;3.14
7;1.013;25.44;3.13;3.13;3.14;3.15
9;1.019;25.44;3.13;3.14;3.14;3.15
11;1.015;25.44;3.13;3.14;3.15;3.15
13;1.017;25.44;3.13;3.14;3.15;3.16
15;1.015;25.44;3.14;3.15;3.15;3.16
16;1.017;25.37;3.15;3.15;3.16;3.14
18;1.013;25.44;3.14;3.15;3.16;3.16
20;1.013;25.37;3.15;3.15;3.16;3.16
22;1.011;25.37;3.15;3.16;3.16;3.17
24;1.011;25.37;3.15;3.16;3.16;3.17
26;1.011;25.44;3.15;3.16;3.17;3.17
28;1.011;25.37;3.16;3.16;3.17;3.17
30;1.013;25.37;3.16;3.17;3.17;3.18
31;1.013;25.44;3.16;3.17;3.17;3.18
33;1.015;25.37;3.16;3.17;3.18;3.18
35;1.015;25.37;3.16;3.17;3.18;3.19
37;1.019;25.37;3.17;3.18;3.18;3.17
39;1.011;25.37;3.17;3.18;3.18;3.19
41;1.015;25.37;3.17;3.18;3.19;3.19
43;1.015;25.37;3.17;3.18;3.19;3.19
44;1.017;25.37;3.18;3.18;3.19;3.19
46;1.015;25.37;3.18;3.18;3.19;3.2
48;1.017;25.37;3.18;3.19;3.19;3.2
50;1.013;25.37;3.18;3.19;3.2;3.2
52;1.013;25.37;3.18;3.19;3.2;3.2
54;1.013;25.37;3.19;3.19;3.2;3.21
56;1.017;25.31;3.19;3.19;3.2;3.21
58;1.015;25.37;3.19;3.2;3.2;3.21
59;1.015;25.31;3.19;3.2;3.2;3.21
61;1.015;25.37;3.19;3.2;3.21;3.21
63;1.013;25.31;3.2;3.2;3.21;3.21
65;1.015;25.31;3.2;3.2;3.21;3.22
67;1.011;25.31;3.21;3.21;3.21;3.2
69;1.017;25.31;3.2;3.21;3.21;3.22
71;1.011;25.31;3.2;3.21;3.22;3.22
73;1.015;25.31;3.21;3.21;3.22;3.22
74;1.017;25.31;3.21;3.21;3.22;3.22
76;1.015;25.31;3.21;3.21;3.22;3.23
78;1.015;25.31;3.21;3.22;3.22;3.23
80;1.013;25.31;3.21;3.22;3.23;3.23
82;1.015;25.31;3.21;3.22;3.23;3.23
84;1.011;25.31;3.22;3.22;3.23;3.24
86;1.017;25.31;3.22;3.22;3.23;3.24
88;1.013;25.31;3.23;3.23;3.23;3.22
89;1.013;25.31;3.22;3.23;3.23;3.24
91;1.015;25.31;3.22;3.23;3.24;3.24
93;1.015;25.31;3.22;3.23;3.24;3.24
95;1.019;25.31;3.23;3.23;3.24;3.22
97;1.013;25.31;3.23;3.23;3.24;3.24
99;1.011;25.31;3.23;3.23;3.24;3.25
101;1.017;25.25;3.23;3.24;3.24;3.25
103;1.015;25.31;3.23;3.24;3.24;3.25
104;1.013;25.25;3.23;3.24;3.25;3.25
106;1.013;25.25;3.24;3.24;3.25;3.25
108;1.017;25.25;3.24;3.24;3.25;3.25
110;1.015;25.25;3.24;3.24;3.25;3.26
112;1.011;25.25;3.24;3.25;3.25;3.26
114;1.011;25.25;3.24;3.25;3.25;3.26
116;1.015;25.25;3.24;3.25;3.26;3.26
117;1.011;25.25;3.25;3.25;3.26;3.26
119;1.015;25.25;3.25;3.25;3.26;3.27
121;1.015;25.25;3.25;3.25;3.26;3.27
123;1.013;25.25;3.25;3.25;3.26;3.27
125;1.013;25.25;3.25;3.26;3.26;3.27
127;1.017;25.25;3.25;3.26;3.26;3.27
129;1.011;25.25;3.25;3.26;3.26;3.27
131;1.013;25.25;3.26;3.26;3.27;3.27
132;1.011;25.25;3.26;3.26;3.27;3.28
134;1.013;25.25;3.26;3.26;3.27;3.28
136;1.013;25.25;3.27;3.27;3.27;3.26
138;1.013;25.25;3.26;3.27;3.27;3.28
140;1.013;25.25;3.26;3.27;3.27;3.28
142;1.013;25.25;3.26;3.27;3.28;3.28
144;1.013;25.19;3.27;3.27;3.28;3.28
146;1.013;25.25;3.27;3.27;3.28;3.29
147;1.011;25.25;3.27;3.27;3.28;3.29
149;1.013;25.25;3.27;3.27;3.28;3.29
151;1.013;25.25;3.27;3.28;3.28;3.29
153;1.008;25.25;3.28;3.28;3.28;3.27
155;1.013;25.19;3.27;3.28;3.29;3.29
157;1.011;25.25;3.28;3.28;3.29;3.29
159;1.013;25.25;3.28;3.28;3.29;3.29
161;1.011;25.25;3.28;3.28;3.29;3.29
162;1.011;25.25;3.28;3.28;3.29;3.3
164;1.011;25.25;3.28;3.28;3.29;3.3
166;1.015;25.19;3.28;3.29;3.29;3.3
168;1.015;25.25;3.28;3.29;3.29;3.3
170;1.015;25.19;3.28;3.29;3.3;3.3
172;1.011;25.19;3.29;3.29;3.3;3.3
174;1.015;25.19;3.29;3.29;3.3;3.3
176;1.013;25.19;3.29;3.29;3.3;3.31
177;1.017;25.19;3.29;3.29;3.3;3.31
179;1.013;25.19;3.29;3.29;3.3;3.31
181;1.015;25.19;3.29;3.3;3.3;3.31
183;1.011;25.19;3.29;3.3;3.3;3.31
185;1.015;25.19;3.3;3.3;3.31;3.29
187;1.011;25.19;3.3;3.3;3.31;3.31
189;1.011;25.19;3.3;3.3;3.31;3.31
190;1.011;25.19;3.3;3.3;3.31;3.32
192;1.013;25.19;3.3;3.3;3.31;3.32
194;1.013;25.19;3.3;3.3;3.31;3.32
196;1.013;25.19;3.3;3.31;3.31;3.32
198;1.011;25.19;3.3;3.31;3.31;3.32
200;1.011;25.19;3.3;3.31;3.31;3.32
202;1.013;25.19;3.31;3.31;3.32;3.32
204;1.015;25.19;3.31;3.31;3.32;3.32
205;1.013;25.19;3.31;3.31;3.32;3.32
207;1.017;25.19;3.31;3.31;3.32;3.33
209;1.008;25.19;3.31;3.31;3.32;3.33
211;1.011;25.19;3.31;3.32;3.32;3.33
213;1.013;25.19;3.32;3.32;3.32;3.31
215;1.013;25.19;3.31;3.32;3.32;3.33
217;1.013;25.19;3.31;3.32;3.32;3.33
219;1.015;25.19;3.32;3.32;3.33;3.33
220;1.015;25.19;3.32;3.32;3.33;3.33
222;1.013;25.19;3.32;3.32;3.33;3.33
224;1.013;25.19;3.32;3.32;3.33;3.34
226;1.013;25.19;3.33;3.33;3.33;3.32
228;1.017;25.19;3.32;3.32;3.33;3.34
230;1.011;25.12;3.32;3.33;3.33;3.34
232;1.015;25.12;3.32;3.33;3.33;3.34
234;1.013;25.12;3.32;3.33;3.33;3.34
